"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"41","M",28,184,85,"FIN","Bronze","Ice Hockey",1
"42","M",28,175,64,"FIN","Bronze","Gymnastics",3
"43","M",28,175,64,"FIN","Gold","Gymnastics",3
"45","M",28,175,64,"FIN","Gold","Gymnastics",3
"49","M",28,175,64,"FIN","Gold","Gymnastics",3
"51","M",32,175,64,"FIN","Bronze","Gymnastics",3
"61","M",20,176,85,"NOR","Gold","Alpine Skiing",1
"62","M",20,176,85,"NOR","Bronze","Alpine Skiing",1
"64","M",22,176,85,"NOR","Silver","Alpine Skiing",1
"65","M",22,176,85,"NOR","Bronze","Alpine Skiing",1
"68","M",22,176,85,"NOR","Silver","Alpine Skiing",1
"74","M",30,176,85,"NOR","Gold","Alpine Skiing",1
"77","M",30,176,85,"NOR","Gold","Alpine Skiing",1
"79","M",34,176,85,"NOR","Gold","Alpine Skiing",1
"93","M",26,189,72,"NED","Silver","Rowing",1
"106","F",23,182,64,"NOR","Bronze","Football",1
"159","M",21,198,90,"ITA","Bronze","Rowing",2
"160","M",30,194,87,"ESP","Bronze","Fencing",2
"162","F",21,165,49,"AZE","Bronze","Taekwondo",3
"164","F",22,179,80,"RUS","Silver","Athletics",1
"173","M",28,180,83,"BLR","Gold","Canoeing",1
"174","M",23,182,86,"FRA","Gold","Handball",1
"175","M",27,182,86,"FRA","Gold","Handball",1
"176","M",31,182,86,"FRA","Silver","Handball",1
"179","M",22,185,82,"CMR","Gold","Football",1
"183","M",22,186,83,"ESP","Gold","Water Polo",1
"187","M",26,165,55,"USA","Silver","Wrestling",3
"189","M",28,181,82,"ESP","Gold","Sailing",1
"192","M",26,182,67,"ESP","Bronze","Athletics",1
"196","F",21,163,60,"RUS","Silver","Cycling",3
"201","M",38,190,85,"FRA","Gold","Handball",2
"209","M",30,181,79,"HUN","Silver","Fencing",1
"219","M",22,188,96,"ITA","Gold","Rowing",2
"220","M",29,188,96,"ITA","Gold","Rowing",2
"221","M",34,188,96,"ITA","Gold","Rowing",2
"222","M",22,182,90,"ITA","Gold","Rowing",2
"223","M",26,182,90,"ITA","Gold","Rowing",2
"224","M",30,182,90,"ITA","Silver","Rowing",2
"227","M",25,187,97,"ITA","Gold","Rowing",2
"228","M",29,187,97,"ITA","Gold","Rowing",2
"229","M",33,187,97,"ITA","Silver","Rowing",2
"275","M",21,184,87,"AUS","Bronze","Hockey",2
"279","M",28,175,70,"USA","Bronze","Figure Skating",1
"287","F",23,191,88,"USA","Silver","Softball",2
"312","F",20,175,56,"USA","Silver","Taekwondo",3
"451","M",26,170,80,"IRI","Bronze","Wrestling",1
"477","F",21,173,59,"CAN","Bronze","Swimming",3
"525","M",38,169,91,"PAK","Gold","Hockey",1
"526","M",23,181,72,"PAK","Silver","Hockey",1
"551","M",26,160,62,"URS","Gold","Wrestling",3
"588","M",26,169,63,"UZB","Gold","Boxing",3
"591","M",25,167,55,"AZE","Silver","Wrestling",3
"592","M",29,167,55,"AZE","Gold","Wrestling",3
"610","M",23,202,104,"USA","Gold","Basketball",2
"618","M",30,170,84,"TJK","Silver","Wrestling",1
"621","M",26,190,125,"EUN","Gold","Athletics",2
"637","M",28,175,64,"JPN","Gold","Nordic Combined",3
"656","M",21,160,50,"ETH","Bronze","Athletics",3
"673","M",23,185,102,"USA","Silver","Ice Hockey",2
"678","F",19,160,48,"GDR","Silver","Gymnastics",3
"685","F",20,160,62,"CAN","Bronze","Diving",3
"721","M",22,166,58,"ETH","Gold","Athletics",3
"728","M",19,181,78,"SWE","Bronze","Athletics",1
"729","M",19,181,78,"SWE","Silver","Athletics",1
"740","M",22,182,84,"USA","Gold","Baseball",1
"748","F",25,159,40,"TUR","Silver","Athletics",3
"772","M",29,172,82,"BUL","Gold","Wrestling",1
"788","M",19,182,68,"USA","Gold","Athletics",1
"790","M",19,161,62,"RUS","Bronze","Gymnastics",3
"791","M",19,161,62,"RUS","Silver","Gymnastics",3
"795","M",24,161,62,"RUS","Silver","Gymnastics",3
"797","M",24,161,62,"RUS","Silver","Gymnastics",3
"798","M",24,161,62,"RUS","Bronze","Gymnastics",3
"804","M",22,190,78,"URS","Silver","Swimming",1
"805","M",22,190,78,"URS","Bronze","Swimming",1
"815","M",30,197,92,"AUS","Bronze","Swimming",2
"862","M",21,188,87,"EGY","Silver","Fencing",2
"885","M",21,192,88,"HUN","Bronze","Canoeing",2
"886","M",21,192,88,"HUN","Gold","Canoeing",2
"887","M",25,192,88,"HUN","Silver","Canoeing",2
"893","M",21,175,64,"GBR","Bronze","Swimming",3
"904","M",29,191,84,"SWE","Silver","Wrestling",2
"916","M",24,183,75,"GBR","Gold","Athletics",1
"918","M",24,183,75,"GBR","Silver","Athletics",1
"930","M",22,172,61,"SWE","Bronze","Athletics",3
"967","M",25,198,89,"RUS","Bronze","Volleyball",2
"972","F",24,171,60,"URS","Silver","Volleyball",3
"975","F",23,167,65,"RUS","Bronze","Speed Skating",3
"1030","M",23,198,93,"ESP","Bronze","Basketball",2
"1036","F",28,188,77,"RUS","Bronze","Basketball",1
"1044","M",22,168,68,"URS","Gold","Wrestling",3
"1045","M",23,180,68,"FRA","Gold","Cycling",1
"1046","M",27,180,68,"FRA","Gold","Cycling",1
"1081","M",20,178,68,"JOR","Gold","Taekwondo",1
"1090","F",26,148,46,"JPN","Bronze","Gymnastics",3
"1106","M",25,189,81,"URS","Bronze","Fencing",1
"1107","M",20,170,62,"URS","Gold","Wrestling",3
"1122","F",16,150,40,"ROU","Bronze","Gymnastics",3
"1127","M",24,194,104,"FRA","Gold","Handball",2
"1134","M",20,176,82,"SUI","Bronze","Alpine Skiing",1
"1163","M",21,176,67,"PUR","Bronze","Boxing",1
"1174","M",19,158,52,"MEX","Silver","Wrestling",3
"1192","M",18,181,73,"GHA","Bronze","Football",1
"1193","M",24,176,75,"SUI","Silver","Cycling",1
"1197","M",29,165,54,"MAR","Bronze","Boxing",3
"1199","M",27,174,57,"MAR","Bronze","Boxing",3
"1211","F",30,168,63,"URS","Bronze","Cross Country Skiing",3
"1228","F",27,172,72,"NED","Bronze","Rowing",1
"1229","F",31,172,72,"NED","Silver","Rowing",1
"1239","M",27,179,68,"NZL","Gold","Hockey",1
"1245","M",24,184,69,"GER","Silver","Nordic Combined",1
"1247","M",24,184,69,"GER","Silver","Nordic Combined",1
"1248","M",28,184,69,"GER","Silver","Nordic Combined",1
"1255","M",26,190,99,"SUI","Gold","Bobsleigh",2
"1256","M",26,190,99,"SUI","Bronze","Bobsleigh",2
"1257","M",28,190,99,"SUI","Gold","Bobsleigh",2
"1258","M",28,190,99,"SUI","Silver","Bobsleigh",2
"1259","M",24,200,104,"SUI","Silver","Bobsleigh",2
"1277","M",20,168,72,"ARG","Gold","Football",1
"1289","M",23,188,91,"CUB","Bronze","Boxing",2
"1326","M",23,162,60,"POL","Bronze","Boxing",3
"1353","M",25,187,83,"TCH","Silver","Modern Pentathlon",1
"1367","M",24,175,95,"CAN","Gold","Curling",2
"1389","M",22,179,78,"POL","Silver","Football",1
"1451","M",22,188,78,"USA","Silver","Athletics",1
"1452","M",22,188,78,"USA","Bronze","Athletics",1
"1491","M",21,178,78,"GBR","Silver","Judo",1
"1492","M",25,178,78,"GBR","Silver","Judo",1
"1495","F",29,164,51,"GBR","Gold","Boxing",3
"1496","F",33,164,51,"GBR","Gold","Boxing",3
"1512","M",27,188,78,"USA","Gold","Athletics",1
"1513","M",27,188,78,"USA","Silver","Athletics",1
"1515","F",26,188,81,"USA","Bronze","Volleyball",1
"1520","F",24,164,69,"GBR","Bronze","Curling",3
"1528","F",23,193,120,"NZL","Gold","Athletics",2
"1529","F",27,193,120,"NZL","Gold","Athletics",2
"1530","F",31,193,120,"NZL","Silver","Athletics",2
"1534","M",29,189,87,"GER","Gold","Rowing",2
"1536","M",23,171,58,"POL","Silver","Boxing",3
"1580","M",17,180,79,"GHA","Bronze","Football",1
"1618","M",22,181,82,"NGR","Silver","Football",1
"1638","M",19,190,80,"NGR","Silver","Football",1
"1652","M",24,179,74,"BRA","Silver","Football",1
"1653","M",28,179,74,"BRA","Silver","Football",1
"1666","M",22,186,78,"NGR","Silver","Athletics",1
"1669","F",25,187,65,"BRA","Gold","Volleyball",1
"1713","M",23,180,70,"FRA","Bronze","Canoeing",1
"1714","M",26,180,70,"FRA","Gold","Canoeing",1
"1721","M",27,190,110,"GER","Silver","Bobsleigh",2
"1729","M",26,188,80,"USA","Gold","Athletics",1
"1734","M",26,180,72,"BRA","Silver","Sailing",1
"1738","M",23,172,62,"GER","Silver","Cycling",3
"1773","F",19,179,70,"GBR","Gold","Swimming",1
"1774","F",19,179,70,"GBR","Gold","Swimming",1
"1775","F",23,179,70,"GBR","Bronze","Swimming",1
"1776","F",23,179,70,"GBR","Bronze","Swimming",1
"1808","M",26,202,100,"LTU","Bronze","Basketball",2
"1844","M",19,198,100,"USA","Gold","Swimming",2
"1845","M",23,198,100,"USA","Gold","Swimming",2
"1846","M",23,198,100,"USA","Silver","Swimming",2
"1847","M",23,198,100,"USA","Gold","Swimming",2
"1848","M",27,198,100,"USA","Bronze","Swimming",2
"1849","M",27,198,100,"USA","Bronze","Swimming",2
"1850","M",27,198,100,"USA","Gold","Swimming",2
"1851","M",27,198,100,"USA","Gold","Swimming",2
"1857","F",25,180,61,"BRA","Silver","Basketball",3
"1858","F",29,180,61,"BRA","Bronze","Basketball",3
"1864","F",21,170,65,"BRA","Bronze","Basketball",3
"1873","M",30,189,87,"HUN","Silver","Canoeing",2
"1900","M",24,189,82,"GER","Silver","Rowing",1
"1943","F",20,158,48,"RUS","Silver","Gymnastics",3
"1963","M",22,183,88,"RUS","Bronze","Ice Hockey",2
"1969","F",20,180,62,"NGR","Silver","Athletics",1
"1977","F",22,178,70,"ROU","Bronze","Rowing",1
"1978","M",28,175,75,"RSA","Bronze","Rugby Sevens",1
"1998","M",25,173,76,"PAK","Silver","Hockey",1
"2003","M",27,193,104,"RSA","Bronze","Rugby Sevens",2
"2006","F",16,148,40,"ROU","Gold","Gymnastics",3
"2008","F",16,148,40,"ROU","Bronze","Gymnastics",3
"2017","M",24,187,93,"ITA","Bronze","Rowing",2
"2018","M",27,187,93,"ITA","Silver","Rowing",2
"2032","M",26,180,80,"USA","Gold","Tennis",1
"2045","F",23,164,66,"FRA","Silver","Judo",3
"2066","M",20,184,80,"URS","Bronze","Water Polo",1
"2067","M",24,184,80,"URS","Silver","Water Polo",1
"2068","M",28,184,80,"URS","Bronze","Water Polo",1
"2100","F",29,172,58,"NED","Gold","Hockey",3
"2101","F",33,172,58,"NED","Gold","Hockey",3
"2111","M",20,202,90,"FRA","Gold","Swimming",2
"2112","M",20,202,90,"FRA","Gold","Swimming",2
"2113","M",20,202,90,"FRA","Silver","Swimming",2
"2127","F",18,168,67,"CAN","Gold","Ice Hockey",3
"2128","F",23,168,67,"CAN","Gold","Ice Hockey",3
"2129","F",26,168,67,"CAN","Gold","Ice Hockey",3
"2139","M",24,178,75,"USA","Silver","Figure Skating",1
"2144","F",27,164,62,"HUN","Gold","Fencing",3
"2184","M",20,172,74,"ARG","Gold","Football",1
"2185","F",23,175,70,"CUB","Gold","Volleyball",1
"2257","M",20,173,64,"CUB","Bronze","Boxing",3
"2264","F",27,170,67,"ESP","Bronze","Handball",3
"2281","F",23,167,50,"ESP","Silver","Rhythmic Gymnastics",3
"2289","M",26,172,64,"CUB","Bronze","Athletics",3
"2332","F",21,147,47,"INA","Silver","Weightlifting",3
"2353","F",32,172,67,"USA","Silver","Volleyball",3
"2364","M",23,175,73,"USA","Silver","Ice Hockey",1
"2368","M",22,170,57,"GBR","Gold","Athletics",3
"2387","M",21,168,69.5,"FIN","Bronze","Boxing",3
"2392","M",32,179,78,"SWE","Bronze","Ice Hockey",1
"2397","F",27,177,75,"SWE","Bronze","Ice Hockey",1
"2399","M",24,182,90,"SWE","Bronze","Ice Hockey",2
"2424","M",29,189,80,"GER","Bronze","Equestrianism",1
"2430","M",41,189,80,"GER","Bronze","Equestrianism",1
"2454","M",29,179,72,"INA","Gold","Badminton",1
"2463","M",23,176,64,"SWE","Gold","Athletics",3
"2466","M",34,190,88,"GER","Bronze","Beach Volleyball",2
"2467","F",22,172,52,"USA","Gold","Swimming",3
"2468","F",22,172,52,"USA","Silver","Swimming",3
"2469","F",22,172,52,"USA","Gold","Swimming",3
"2479","M",21,162,62,"PAK","Gold","Hockey",3
"2481","M",25,171,67,"PAK","Gold","Hockey",3
"2490","M",21,170,62,"PAK","Gold","Hockey",3
"2494","M",24,169,75,"PAK","Bronze","Hockey",1
"2503","M",28,170,70,"PAK","Gold","Hockey",1
"2504","M",27,173,61,"PAK","Gold","Hockey",3
"2507","M",27,150,70,"PAK","Gold","Hockey",3
"2508","M",30,150,70,"PAK","Silver","Hockey",3
"2512","M",23,175,61,"PAK","Bronze","Hockey",3
"2558","M",24,184,66,"FIN","Silver","Ski Jumping",1
"2561","M",28,184,66,"FIN","Silver","Ski Jumping",1
"2577","M",30,169,66,"GER","Silver","Sailing",3
"2578","F",23,178,85,"GDR","Gold","Rowing",1
"2580","M",28,195,97,"USA","Gold","Rowing",2
"2585","F",23,176,70,"CHI","Silver","Athletics",1
"2588","M",16,163,50,"GER","Silver","Rowing",3
"2616","M",26,192,102,"ITA","Silver","Water Polo",2
"2617","M",30,192,102,"ITA","Bronze","Water Polo",2
"2619","F",26,165,60,"ARG","Silver","Hockey",3
"2620","F",30,165,60,"ARG","Bronze","Hockey",3
"2621","F",34,165,60,"ARG","Bronze","Hockey",3
"2636","F",27,172,74,"ITA","Silver","Water Polo",1
"2639","M",23,183,75,"GER","Bronze","Canoeing",1
"2646","M",21,154,53,"JPN","Silver","Gymnastics",3
"2647","M",21,154,53,"JPN","Silver","Gymnastics",3
"2654","M",25,154,53,"JPN","Gold","Gymnastics",3
"2655","M",25,154,53,"JPN","Gold","Gymnastics",3
"2664","M",21,156,55,"JPN","Bronze","Gymnastics",3
"2673","M",28,183,85,"JPN","Bronze","Baseball",1
"2689","M",19,183,90,"GBR","Silver","Sailing",2
"2690","M",23,183,90,"GBR","Gold","Sailing",2
"2691","M",27,183,90,"GBR","Gold","Sailing",2
"2692","M",31,183,90,"GBR","Gold","Sailing",2
"2693","M",35,183,90,"GBR","Gold","Sailing",2
"2697","M",22,187,84,"USA","Gold","Baseball",1
"2716","M",34,185,85,"GBR","Bronze","Sailing",1
"2754","M",21,173,65,"AUS","Silver","Cycling",3
"2755","M",25,173,65,"AUS","Bronze","Cycling",3
"2757","M",29,173,65,"AUS","Gold","Cycling",3
"2773","M",35,177,88,"UKR","Gold","Shooting",1
"2788","F",17,167,45,"GRE","Bronze","Rhythmic Gymnastics",3
"2796","M",20,172,79,"NGR","Bronze","Football",1
"2799","M",27,175,93,"CUB","Gold","Baseball",2
"2800","M",31,175,93,"CUB","Gold","Baseball",2
"2801","M",35,175,93,"CUB","Silver","Baseball",2
"2803","M",23,185,75,"NGR","Silver","Football",1
"2811","M",20,180,62,"CAN","Bronze","Athletics",1
"2816","F",24,164,57,"NGR","Gold","Athletics",3
"2827","M",25,185,81,"GBR","Silver","Athletics",1
"2830","M",33,185,81,"GBR","Bronze","Athletics",1
"2831","M",33,185,81,"GBR","Bronze","Athletics",1
"2839","M",19,172,74,"JPN","Silver","Wrestling",1
"2841","M",27,172,74,"JPN","Bronze","Wrestling",1
"2849","M",24,169,64,"JPN","Bronze","Short Track Speed Skating",3
"2881","M",23,168,62,"TUR","Silver","Wrestling",3
"2912","F",30,178,68,"USA","Gold","Football",1
"2927","M",25,192,125,"TUR","Gold","Wrestling",2
"2930","F",18,181,80,"URS","Gold","Volleyball",1
"2935","F",21,160,55,"RUS","Silver","Biathlon",3
"2937","F",25,160,55,"RUS","Bronze","Biathlon",3
"2939","F",29,160,55,"RUS","Bronze","Biathlon",3
"2941","F",29,160,55,"RUS","Bronze","Biathlon",3
"2942","F",29,160,55,"RUS","Gold","Biathlon",3
"2956","M",21,165,56,"UZB","Bronze","Boxing",3
"2962","M",28,187,79,"RUS","Gold","Fencing",1
"2963","M",21,190,120,"RUS","Silver","Wrestling",2
"2966","M",34,184,87,"BUL","Silver","Wrestling",2
"2969","F",23,160,52,"URS","Bronze","Hockey",3
"2979","M",26,180,79,"URS","Bronze","Rowing",1
"2985","M",25,172,61,"PAK","Gold","Hockey",3
"2989","M",23,173,65,"PAK","Gold","Hockey",3
"3006","M",22,188,77,"UGA","Gold","Athletics",1
"3012","M",24,181,84,"URS","Gold","Water Polo",1
"3014","M",27,184,80,"URS","Gold","Water Polo",1
"3021","F",22,163,61,"USA","Gold","Athletics",3
"3022","F",24,191,79,"USA","Silver","Volleyball",1
"3023","F",28,191,79,"USA","Bronze","Volleyball",1
"3046","M",19,178,105,"RUS","Silver","Weightlifting",2
"3047","M",23,178,105,"RUS","Bronze","Weightlifting",2
"3049","F",25,165,57,"RUS","Bronze","Water Polo",3
"3071","M",30,187,80,"NGR","Bronze","Football",1
"3096","F",26,183,74,"USA","Bronze","Fencing",1
"3102","F",29,165,58,"URS","Bronze","Athletics",3
"3105","M",21,173,67,"URS","Bronze","Athletics",3
"3107","M",25,173,67,"URS","Gold","Athletics",3
"3118","M",26,201,100,"RUS","Bronze","Rowing",2
"3127","F",17,174,62,"URS","Bronze","Swimming",3
"3145","M",23,192,88,"URS","Silver","Sailing",2
"3149","M",22,187,81,"SYR","Bronze","Boxing",1
"3224","M",41,178,82,"QAT","Bronze","Shooting",1
"3303","M",33,178,95,"KUW","Bronze","Shooting",2
"3305","M",45,178,95,"KUW","Bronze","Shooting",2
"3307","M",49,178,95,"IOA","Gold","Shooting",2
"3355","M",40,162,70,"KSA","Bronze","Equestrianism",3
"3361","M",31,175,57,"KSA","Bronze","Equestrianism",3
"3438","M",25,170,63,"PAK","Gold","Hockey",3
"3543","M",40,175,67,"UAE","Gold","Shooting",1
"3681","M",52,183,83,"IOA","Bronze","Shooting",1
"3722","M",27,178,69,"KSA","Bronze","Equestrianism",1
"3773","M",23,191,72,"KSA","Silver","Athletics",1
"3834","F",26,164,55,"ESP","Gold","Sailing",3
"3837","M",33,176,74,"URS","Silver","Basketball",1
"3860","M",23,154,52,"URS","Silver","Wrestling",3
"3871","M",26,172,73,"PAK","Silver","Hockey",1
"3872","M",30,172,73,"PAK","Gold","Hockey",1
"3912","M",25,190,81,"CRO","Silver","Basketball",1
"3938","M",22,182,85,"FIN","Bronze","Ice Hockey",1
"3941","M",30,174,67,"FIN","Gold","Cross Country Skiing",1
"3966","M",25,179,80,"ITA","Bronze","Sailing",1
"3970","M",31,187,84,"ITA","Silver","Cross Country Skiing",1
"3973","M",31,187,84,"ITA","Silver","Cross Country Skiing",1
"3974","M",33,187,84,"ITA","Bronze","Cross Country Skiing",1
"3976","M",33,187,84,"ITA","Gold","Cross Country Skiing",1
"3979","M",37,187,84,"ITA","Silver","Cross Country Skiing",2
"4002","M",24,192,156,"RUS","Bronze","Weightlifting",2
"4003","M",23,182,75,"ESP","Silver","Football",1
"4008","M",20,184,75,"FRG","Bronze","Cycling",1
"4012","M",29,192,82,"ITA","Silver","Water Polo",2
"4026","M",18,182,75,"HUN","Bronze","Football",1
"4068","F",29,179,90,"ESP","Bronze","Handball",2
"4079","M",26,177,67,"SWE","Bronze","Athletics",1
"4087","M",20,180,83,"ITA","Bronze","Rowing",1
"4093","M",19,165,66,"RUS","Gold","Wrestling",3
"4131","F",17,165,57,"GDR","Bronze","Speed Skating",3
"4147","F",31,175,64,"SUI","Bronze","Cross Country Skiing",3
"4152","M",39,181,67,"SWE","Gold","Sailing",1
"4159","M",23,191,79,"USA","Silver","Athletics",1
"4161","M",24,181,87,"URS","Bronze","Wrestling",1
"4227","M",30,183,76,"BRA","Bronze","Football",1
"4228","M",20,183,63,"CUB","Silver","Boxing",1
"4229","M",24,183,63,"CUB","Gold","Boxing",1
"4269","M",22,177,75,"USA","Gold","Athletics",1
"4274","F",17,170,59,"USA","Bronze","Swimming",3
"4300","M",23,184,75,"ESP","Silver","Hockey",1
"4305","M",27,171,71,"ESP","Silver","Hockey",1
"4318","F",26,171,58,"NZL","Gold","Sailing",3
"4319","F",30,171,58,"NZL","Silver","Sailing",3
"4327","M",28,200,130,"LTU","Gold","Athletics",2
"4328","M",32,200,130,"LTU","Gold","Athletics",2
"4329","M",36,200,130,"LTU","Bronze","Athletics",2
"4335","M",20,168,69,"URS","Gold","Ice Hockey",3
"4361","M",20,176,89,"BUL","Silver","Weightlifting",1
"4364","M",22,180,81,"URS","Bronze","Ice Hockey",1
"4365","M",26,180,81,"URS","Gold","Ice Hockey",1
"4366","M",30,180,81,"URS","Gold","Ice Hockey",1
"4367","M",26,178,89,"URS","Bronze","Bobsleigh",1
"4380","F",19,180,83,"URS","Silver","Rowing",1
"4381","F",23,180,83,"URS","Gold","Rowing",1
"4383","M",20,190,98,"ARM","Bronze","Wrestling",2
"4384","M",24,190,98,"ARM","Gold","Wrestling",2
"4405","M",30,185,160,"URS","Gold","Weightlifting",2
"4406","M",34,185,160,"URS","Gold","Weightlifting",2
"4411","F",17,157,50,"URS","Bronze","Diving",3
"4417","M",26,193,96,"SRB","Bronze","Water Polo",2
"4418","M",30,193,96,"SRB","Gold","Water Polo",2
"4458","F",22,200,85,"BRA","Silver","Basketball",2
"4459","F",26,200,85,"BRA","Bronze","Basketball",2
"4483","M",21,177,60,"BRA","Silver","Football",3
"4508","F",27,172,58,"CAN","Silver","Synchronized Swimming",3
"4509","M",24,188,74,"GBR","Silver","Fencing",1
"4525","F",23,170,69,"CAN","Bronze","Rowing",3
"4556","M",24,170,73,"FRA","Bronze","Judo",1
"4557","M",28,170,73,"FRA","Gold","Judo",1
"4562","M",18,179,71,"BRA","Bronze","Football",1
"4563","M",22,179,71,"BRA","Silver","Football",1
"4570","M",26,157,52,"ROU","Silver","Wrestling",3
"4574","M",26,189,81,"ROU","Silver","Boxing",1
"4584","M",23,184,74,"URS","Bronze","Diving",1
"4585","M",27,184,74,"URS","Silver","Diving",1
"4587","M",33,181,88,"RUS","Bronze","Shooting",2
"4590","M",21,207,90,"NIG","Silver","Taekwondo",2
"4601","F",30,170,62,"URS","Bronze","Athletics",3
"4613","M",19,178,69,"ESP","Gold","Football",1
"4624","M",19,185,74,"USA","Gold","Basketball",1
"4631","M",33,182,92,"SWE","Gold","Ice Hockey",2
"4633","M",41,182,92,"SWE","Silver","Ice Hockey",2
"4643","M",23,183,77,"BRA","Bronze","Basketball",1
"4646","M",35,183,77,"BRA","Bronze","Basketball",1
"4647","M",27,178,77,"SWE","Gold","Ice Hockey",1
"4659","F",37,163,56,"SWE","Silver","Equestrianism",3
"4726","M",25,176,69,"PAK","Gold","Hockey",1
"4728","F",27,170,65,"USA","Silver","Athletics",3
"4737","M",22,165,61,"IND","Gold","Hockey",3
"4754","M",17,180,69,"FRA","Silver","Athletics",1
"4766","M",29,158,48,"IRI","Silver","Wrestling",3
"4785","M",41,168,72,"RUS","Gold","Shooting",1
"4786","M",45,168,72,"RUS","Bronze","Shooting",1
"4794","M",26,200,110,"CRO","Bronze","Handball",2
"4806","F",22,180,71,"BRA","Silver","Football",1
"4817","M",29,175,80,"RUS","Gold","Shooting",1
"4818","M",32,175,80,"RUS","Bronze","Shooting",1
"4825","M",26,203,106,"BRA","Silver","Beach Volleyball",2
"4826","M",30,203,106,"BRA","Gold","Beach Volleyball",2
"4833","M",28,187,75,"NGR","Bronze","Athletics",1
"4836","F",17,174,48,"RUS","Gold","Rhythmic Gymnastics",3
"4848","F",18,185,57,"IRI","Bronze","Taekwondo",3
"4881","F",19,176,54,"EUN","Bronze","Short Track Speed Skating",3
"4889","M",23,168,68,"FRA","Bronze","Alpine Skiing",3
"4892","M",26,174,63,"ALG","Bronze","Boxing",3
"4911","M",25,193,93,"GBR","Bronze","Sailing",2
"4913","M",22,175,72,"FRA","Silver","Freestyle Skiing",1
"4917","M",40,162,68,"GBR","Bronze","Shooting",3
"4919","M",44,162,68,"GBR","Silver","Shooting",3
"4966","M",24,188,95,"USA","Gold","Sailing",2
"4967","M",21,185,86,"USA","Bronze","Baseball",2
"4995","F",34,163,53,"AUT","Gold","Triathlon",3
"4997","F",26,170,65,"AUS","Gold","Hockey",3
"5032","M",25,192,93,"USA","Gold","Basketball",2
"5042","M",14,163,69,"USA","Bronze","Figure Skating",3
"5049","M",25,193,98,"USA","Gold","Rowing",2
"5050","M",29,193,98,"USA","Bronze","Rowing",2
"5051","F",21,170,59,"AUS","Bronze","Softball",3
"5052","F",25,170,59,"AUS","Silver","Softball",3
"5053","F",29,170,59,"AUS","Bronze","Softball",3
"5056","F",26,177,72,"GBR","Bronze","Modern Pentathlon",1
"5076","M",23,180,73,"TTO","Bronze","Athletics",1
"5078","M",54,180,71,"GBR","Silver","Equestrianism",1
"5079","M",54,180,71,"GBR","Gold","Equestrianism",1
"5148","F",15,163,59,"USA","Gold","Swimming",3
"5149","F",34,167,60,"ITA","Gold","Water Polo",3
"5179","M",31,170,63,"SWE","Bronze","Athletics",3
"5234","F",29,170,69,"SWE","Bronze","Ice Hockey",3
"5280","M",20,178,83,"URS","Bronze","Ice Hockey",1
"5281","M",24,178,83,"URS","Gold","Ice Hockey",1
"5282","M",22,173,70,"ARG","Silver","Football",1
"5297","M",20,188,73,"SWE","Bronze","Athletics",1
"5298","M",28,188,73,"SWE","Bronze","Athletics",1
"5318","M",28,182,70,"SWE","Bronze","Athletics",1
"5319","M",20,180,80,"CMR","Gold","Football",1
"5324","M",25,182,74,"BRA","Silver","Football",1
"5351","F",28,172,65,"ESP","Bronze","Handball",3
"5386","M",23,164,52,"RUS","Bronze","Boxing",3
"5390","F",22,155,51,"NGR","Silver","Athletics",3
"5423","M",22,190,82,"NOR","Gold","Cross Country Skiing",1
"5424","M",22,190,82,"NOR","Silver","Cross Country Skiing",1
"5428","M",26,190,82,"NOR","Gold","Cross Country Skiing",1
"5429","M",26,190,82,"NOR","Gold","Cross Country Skiing",1
"5431","M",30,190,82,"NOR","Gold","Cross Country Skiing",1
"5432","M",30,190,82,"NOR","Gold","Cross Country Skiing",1
"5435","F",23,180,64,"SWE","Silver","Swimming",1
"5436","F",23,180,64,"SWE","Silver","Swimming",1
"5437","F",23,180,64,"SWE","Bronze","Swimming",1
"5445","M",28,181,78,"URS","Silver","Fencing",1
"5458","F",27,172,60,"NOR","Gold","Handball",3
"5459","F",31,172,60,"NOR","Bronze","Handball",3
"5482","M",26,193,92,"GER","Bronze","Canoeing",2
"5491","F",25,180,72,"GER","Silver","Rowing",1
"5494","M",18,177,70,"ITA","Bronze","Athletics",1
"5503","F",19,165,64,"SUI","Bronze","Ice Hockey",3
"5563","M",20,173,62,"CHI","Bronze","Football",3
"5569","M",24,175,72,"USA","Silver","Short Track Speed Skating",1
"5609","M",22,198,97,"CUB","Bronze","Basketball",2
"5612","M",21,173,60,"CUB","Bronze","Boxing",3
"5613","M",25,173,60,"CUB","Bronze","Boxing",3
"5690","F",26,176,70,"COL","Bronze","Judo",1
"5691","F",30,176,70,"COL","Silver","Judo",1
"5701","M",23,178,83,"ITA","Silver","Bobsleigh",1
"5702","M",23,178,83,"ITA","Silver","Bobsleigh",1
"5721","M",25,194,88,"BRA","Silver","Volleyball",2
"5749","M",29,190,91,"EGY","Silver","Boxing",2
"5772","M",21,166,63,"RUS","Bronze","Gymnastics",3
"5783","M",23,169,60,"RUS","Bronze","Cross Country Skiing",3
"5824","F",16,158,44,"ROU","Bronze","Gymnastics",3
"5825","F",16,158,44,"ROU","Bronze","Gymnastics",3
"5826","F",16,158,44,"ROU","Silver","Gymnastics",3
"5827","F",16,158,44,"ROU","Gold","Gymnastics",3
"5830","F",20,158,44,"ROU","Gold","Gymnastics",3
