"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"119307","M",27,167,58,"JPN","Silver","Athletics",3
"119318","M",20,185,85,"AUS","Silver","Baseball",1
"119325","M",28,174,69,"JPN","Silver","Baseball",1
"119328","M",23,185,83,"JPN","Silver","Volleyball",1
"119329","M",27,185,83,"JPN","Gold","Volleyball",1
"119344","F",21,163,51,"JPN","Bronze","Synchronized Swimming",3
"119347","F",25,185,65,"JPN","Bronze","Volleyball",1
"119353","M",32,172,78,"JPN","Bronze","Baseball",1
"119388","M",20,167,64,"HUN","Bronze","Judo",3
"119394","M",29,165,60,"CUB","Gold","Boxing",3
"119395","M",33,165,60,"CUB","Gold","Boxing",3
"119396","M",27,190,86,"CUB","Gold","Baseball",2
"119397","M",31,190,86,"CUB","Gold","Baseball",2
"119398","M",35,190,86,"CUB","Silver","Baseball",2
"119402","M",22,184,73,"GER","Silver","Athletics",1
"119406","M",30,184,73,"FRG","Bronze","Athletics",1
"119438","M",25,170,62,"IND","Bronze","Hockey",3
"119445","M",21,190,79,"USA","Gold","Athletics",1
"119452","M",21,185,84,"USA","Gold","Rowing",1
"119455","F",21,175,62,"GBR","Gold","Cycling",3
"119485","M",25,201,91,"USA","Gold","Basketball",2
"119490","F",22,175,77,"USA","Gold","Ice Hockey",1
"119491","F",26,175,77,"USA","Silver","Ice Hockey",1
"119492","F",30,175,77,"USA","Bronze","Ice Hockey",1
"119495","F",26,162,61,"USA","Bronze","Ice Hockey",3
"119496","M",20,180,64,"USA","Gold","Athletics",1
"119500","F",19,175,70,"USA","Gold","Swimming",1
"119502","F",19,175,70,"USA","Gold","Swimming",1
"119511","F",28,170,59,"USA","Gold","Diving",3
"119527","M",27,181,64,"AUS","Gold","Sailing",1
"119540","F",28,161,52,"JPN","Silver","Football",3
"119541","M",21,185,91,"USA","Gold","Athletics",2
"119542","M",26,185,91,"USA","Gold","Athletics",2
"119543","F",26,182,75,"NED","Silver","Rowing",1
"119544","F",30,182,75,"NED","Bronze","Rowing",1
"119545","M",31,186,112,"AUS","Silver","Baseball",2
"119556","F",24,173,62,"CAN","Gold","Ice Hockey",3
"119557","F",28,173,62,"CAN","Gold","Ice Hockey",3
"119559","M",21,174,68,"CAN","Silver","Freestyle Skiing",1
"119571","M",21,182,85,"NZL","Bronze","Swimming",1
"119578","M",27,182,95,"USA","Gold","Baseball",2
"119593","M",26,175,77.5,"FIN","Silver","Athletics",1
"119613","F",29,175,69,"JPN","Silver","Sailing",1
"119625","M",16,193,91,"USA","Silver","Swimming",2
"119626","M",20,193,91,"USA","Gold","Swimming",2
"119629","M",22,183,72,"USA","Gold","Athletics",1
"119632","F",19,172,56,"FRG","Silver","Alpine Skiing",3
"119634","F",27,172,56,"FRG","Silver","Alpine Skiing",3
"119635","F",27,172,56,"FRG","Bronze","Alpine Skiing",3
"119649","F",26,170,64,"USA","Bronze","Cycling",3
"119673","M",27,157,55,"GRE","Bronze","Wrestling",3
"119676","M",19,167,57,"KEN","Bronze","Athletics",3
"119677","M",23,167,57,"KEN","Silver","Athletics",3
"119678","M",31,167,57,"KEN","Gold","Athletics",3
"119694","M",27,182,63,"DEN","Silver","Athletics",1
"119695","M",31,182,63,"DEN","Bronze","Athletics",1
"119697","M",25,185,73,"KEN","Bronze","Athletics",1
"119715","M",19,190,63,"KEN","Gold","Athletics",1
"119726","M",29,185,68,"KEN","Silver","Athletics",1
"119727","M",23,172,56,"UGA","Gold","Athletics",3
"119729","M",30,182,62,"KEN","Bronze","Athletics",1
"119733","M",21,184,88.5,"FIN","Bronze","Ice Hockey",2
"119734","M",33,185,85,"FIN","Bronze","Ice Hockey",1
"119735","M",19,175,55,"KEN","Silver","Athletics",3
"119736","M",23,175,55,"KEN","Gold","Athletics",3
"119739","M",21,167,58,"KEN","Gold","Athletics",3
"119745","M",24,175,60,"KEN","Silver","Athletics",3
"119750","M",30,178,86,"URS","Gold","Bobsleigh",1
"119751","M",30,178,86,"URS","Bronze","Bobsleigh",1
"119753","F",26,157,40,"KEN","Silver","Athletics",3
"119764","M",23,190,86,"USA","Gold","Volleyball",2
"119765","M",27,190,86,"USA","Gold","Volleyball",2
"119766","M",35,190,86,"USA","Gold","Beach Volleyball",2
"119770","F",33,169,55,"FRA","Bronze","Fencing",3
"119776","M",25,180,77,"AUS","Gold","Swimming",1
"119780","M",22,173,59,"USA","Bronze","Athletics",3
"119792","M",24,184,82,"GER","Gold","Canoeing",1
"119797","F",31,170,60,"FRG","Gold","Fencing",3
"119798","M",18,183,69,"GER","Silver","Nordic Combined",1
"119801","M",22,183,69,"GER","Silver","Nordic Combined",1
"119806","M",26,183,69,"GER","Bronze","Nordic Combined",1
"119808","M",30,183,69,"GER","Silver","Nordic Combined",1
"119833","M",21,208,106,"GDR","Silver","Rowing",2
"119834","M",25,208,106,"GER","Bronze","Rowing",2
"119835","M",29,208,106,"GER","Silver","Rowing",2
"119837","M",28,190,86,"GER","Gold","Equestrianism",2
"119838","M",28,190,86,"GER","Gold","Equestrianism",2
"119857","M",26,190,100,"GDR","Bronze","Bobsleigh",2
"119858","M",30,190,100,"GDR","Gold","Bobsleigh",2
"119861","M",21,178,68,"GER","Gold","Biathlon",1
"119862","M",21,178,68,"GER","Silver","Biathlon",1
"119863","M",21,178,68,"GER","Gold","Biathlon",1
"119866","M",23,178,68,"GER","Gold","Biathlon",1
"119871","M",32,178,66,"RUS","Gold","Athletics",1
"119879","M",21,180,80,"URS","Gold","Cycling",1
"119886","M",31,208,98,"RUS","Bronze","Basketball",2
"119888","F",25,174,60,"RUS","Bronze","Tennis",3
"119903","M",21,161,48,"UKR","Bronze","Boxing",3
